id,name,birth
418078,Tom Jansen,1945
560732,Armando Matías Guiu,1925
2671944,Cristián Carvajal,1977
250215,Meredith Edwards,1917
7360585,Inna Bakelman,1989
766291,Yuka Sato,1973
7477442,Jason Stange,1970
550728,Alan Marshall,1938
1276051,Benjamin Jackendoff,1980
755723,Shigeaki Saegusa,1942
3900613,Chase Layman,1985
2180,Francesca Archibugi,1960
322242,Jonathan Glazer,1965
510370,Valerie Lilley,1939
415283,Claude Jade,1948
72347,Paul Bens,1964
1899712,Giles Daoust,1979
1847314,Asli Sahin,1979
361448,Lena T. Hansson,1955
355227,Kristian Halken,1955
2845677,Otis Clements,1926
4255626,Irving Sandler,1925
894382,Peter Vermeersch,1959
2888228,Lior Liebling,1991
336828,Michael Gray,1964
15558,Vitali Aksyonov,1931
114208,Mark Alton Brown,1955
482511,Peter Lalonde,1960
17450,Charles Bernstein,1943
2893389,Adelaida Buscato,1985
502215,J.U. Lensing,1960
4372,Gary Graver,1938
119033,Mladen Budiscak,1947
1304543,Nathan 'Karma' Cox,1971
643350,Suresh Oberoi,1946
747155,Reena Roy,1957
490402,Matt Lattanzi,1959
740661,Sandra Roque,1971
9785782,Nicolas Dibla,1985
442859,Nicola Kawana,1970
1017994,Justin Fletcher,1970
988351,Cory Taylor,1965
913700,Ron Wasserman,1961
1728080,Sonny Vellozzi,1953
592782,Akhilendra Mishra,1962
1018613,Nikolai Nikiforov,1938
674114,Dusan Perkovic,1926
758103,Miguel Sales Lopes,1970
3041147,Núria Deulofeu,1989
1540918,Oleg Pungin,1968
517344,Paola Loew,1934
109717,Thomas Brinx,1963
5065607,Percy Meza,1992
3773347,Kevin B Hartley,1964
3234852,Brandon Cater,1984
5767,Edward Lachman,1948
599341,Davide Montemurri,1930
2547744,Erzsébet Rácz,1971
773165,Renate Schmidt,1942
231983,Raechel Donahue,1952
642456,Karri O'Reilly,1969
2673461,Liam Garvo,1977
1298021,José Vicente Asuar,1933
184288,Charlélie Couture,1956
192007,Jack Cummins,1948
1292847,Bernice Liu,1979
2090,Zach Galligan,1964
951134,Vadim Yusov,1929
539820,George Malko,1935
1304603,Kourosh Davarkhah,1953
1639236,Shaun Springer,1978
189484,Avery Crounse,1951
3045616,Robert Ewing,1983
1132340,Guillaume Godard,1962
1514822,Norihito Kaneko,1978
72533,Jodi Benson,1961
453580,Ki-duk Kim,1934
3576327,Wei Gan,1984
251490,Brett Eichenberger,1975
4549555,Deborah Meister,1990
850894,Tatyana Tashkova,1956
1036449,Katalin Dobos,1953
817023,Nicholas Sparks,1965
241577,Petru Dumitriu,1926
2864554,Geraldo Rodrigues,1984
3223778,Oodgeroo Noonuccal,1920
1458360,Luca Di Fulvio,1957
683424,Herb Pilhofer,1931
906694,Shiho Wakabayashi,1971
1812836,Louise Hart,1979
1934700,Daniel Rakete Siegel,1980
2650334,Kevin Jonas,1987
365035,Lynette Harris,1954
989403,György Jakab,1950
1033499,Kamen Vodenicharov,1966
1648091,Philip J. Corso,1915
7259082,Quinn Sheehan,1999
1006907,Andrea Dworkin,1946
1124782,Ann Hu,1976
948124,Gloria Yip,1973
48137,Kostas Bakalis,1942
530622,Pål Løkkeberg,1934
1426656,Marcus Johns,1993
2964204,Mike Shelton,1979
710530,B. Narayan Rao,1908
2037,Cliff De Young,1945
806348,Jimmy Slyde,1927
374265,Raoul W. Heimrich,1964
818785,Michael Spiller,1961
89490,Chelsea Blue,1976
3150050,Brandi Aguilar,1989
3093034,Alesya Pukhovaya,1975
632137,Peter Nilson,1937
1187149,Monica Anghel,1971
5725986,Anna Kanaris,1985
394735,Gábor Horkai,1967
529442,András Lányi,1948
2783254,Imre Makovecz,1935
936123,Franz Winzentsen,1939
542301,Sune Mangs,1932
511950,Gunnar 'Knas' Lindkvist,1916
106920,Zuzana Brejcha,1953
504335,Len Lesser,1922
1408971,Bárbara Muñoz,1983
2843092,Kristina Ellery,1985
269515,Michele Fawdon,1947
1072901,Stephen Fromkin,1972
5109620,Anna Boettcher,1986
5883050,Dustin Tittle,1984
1727738,Johnnie Oberg Jr.,1979
202480,Madeleine Dauzart,1950
21456,Keith Allison,1942
306320,Manolo García,1933
941185,Guy Woolfenden,1937
796665,Henry Sidoli,1930
2668783,Ari Wibowo,1970
779737,Rodney Scott,1978
857806,Jack Thibeau,1946
9236879,Agata Klimovich,1993
5771,Franz Xaver Lederle,1931
270849,Ferenc Fekete,1914
1729121,Eiichirô Hasumi,1967
35636,Bridget Armstrong,1937
524217,Laurent Lucas,1965
1114194,Paul Henderson,1967
1802746,Tünde Novák,1963
2145177,Alexia Fast,1992
583800,Theo Mezger,1923
1108319,Kofi Annan,1938
6916719,Jun-yeol Ryu,1986
